SOCIETYID,SOCIETY_NAME,REPORTTIME,CREDIT_CODE,REPORTYEAR,ID,RESULT,DECLAREID,ROW_ID
M4403060300000026,深圳市宝安区新安街道幸福海岸幼儿园,2019-12-30,524403066685057115,2018,bc4a0b5782db45b785d6a7f262e54934,全部通过,04fde8135bd04309a6b5c864fd5e1dc9,415
M4403060300000035,深圳市宝安区新安街道凯旋城幼儿园,2019-12-30,524403066700457343,2018,a8770520ff224171ba8ede71848734a5,全部通过,197868810e74473d9de54616c9c7563d,416
M4403060300000025,深圳市宝安区新安街道金成时代幼儿园,2019-12-30,52440306668530781F,2018,a2b33ed35ce6407692a39e02c12c0b71,全部通过,21ccea4f16f04e958a3bc3748d4fb149,417
M4403100000001011,深圳市国创新能源研究院,2019-12-26,52440300056199063P,2018,fec295e2412745558a49fc83d2cc6a0c,全部通过,01cf6147bc894742a36dc1249345758e,418
M4403100000012493,深圳市宝安区大同源社工服务中心,2019-12-26,52440306MJL188346P,2018,b65b81ce3a4f445b92c54d9df2f56428,全部通过,02f707476396442a8d69c62efaad8a51,419
M4403060300000203,深圳市宝安区新安街道新锦安幼儿园,2019-12-24,5244030666104588XF,2018,7db220407e084ceb80a03eb2fbf16a46,全部通过,d806178c7b214dda8927d67d616f6b9a,420
S4403060000000170,深圳市宝安区总商会,2019-12-24,51440306502679228B,2018,1719c9664d4d477688ea9e29f8191149,全部通过,81bb40debb3047c999757c6ecc33fe4e,421
S4403910080006610,深圳市宝安区航城商会,2019-12-24,51440306MJL192820Y,2018,13824b96d0d940808e65d51cc5c9d51d,全部通过,9d4a70f07c494fd3a4b1546fc9908507,422
S4403000000005483,深圳市开封商会,2019-11-20,51440300061421810L,2018,9b0f9438f091481bbd908745b49262ec,全部通过,158aef68ca394d8c862b19521edc6fe0,423
S4403910080005983,深圳市山西永和商会,2019-11-20,51440300MJL188151A,2018,987fa17b43c5428b9ee08aecaa5a9939,全部通过,c4b45414a390402684a78c285de3149d,424
S4403910080000537,深圳市浠水商会,2019-11-14,51440300MJL1712376,2018,dee81a4b125b44cfa42e098444a74079,全部通过,ebad801efdf940459ceb83b24e1a5ae0,425
M4403100000012256,深圳市龙华区观湖园春蕾幼儿园,2019-11-14,52440300MJL186615D,2018,cb2b6d23b8a2484e96a29da9c9a41cc7,全部通过,34c037c69de248a897cb6c4bbc001fd5,426
S4403000000005838,深圳市青年社会组织联合会,2019-11-14,51440300052791334Q,2018,96984f55442b414bb12e0c52c431c2cb,全部通过,28bb8a7622b9470d9e907e19408b9658,427
M4403100000012991,深圳市南山区鹏旭锦途社会工作服务社,2019-11-12,52440305MJL191748B,2018,a764b0fd7b404d0ea8980fd91b47f2ae,全部通过,c8a6b7fa2c3a4fe6af8fbbd28f0fb5f6,428
M4403100000008544,深圳景田医院,2019-11-08,52440300731129254B,2018,92fd093d9b04458989efaf411031009a,全部通过,097f6bc1c0214fcb8439103913206257,429
S4403000000005861,深圳市粮食行业协会,2019-11-07,5144030005895160XF,2018,0b328b47f8ed4cb1b7e249b87a5571a2,全部通过,657a2fa1e79e425fa2e6127adac25103,430
M4403100000007929,深圳市爱家婚姻家庭情感服务中心,2019-11-05,52440300MJL1662359,2018,bb62cae15fa14ee9a5fbffef9f70df25,全部通过,90fd4ee896974fdc97405f72789d2129,431
M4403130200000253,深圳市龙华区大自然午托中心,2019-11-04,52440300564203436L,2018,e55d4b327789468ea77413e325481ae9,全部通过,41cce3e4e848473ea487edbc71062807,432
S4403060000000091,深圳市宝安区环境保护产业协会,2019-10-22,5144030650269011X4,2018,95e93058323047ab88dd4153c56b12b7,全部通过,aeba90cfd0e443b4ba39e6e8def9d9f7,433
M4403100000001054,深圳市拓荒牛艺术团,2019-09-26,52440300585623712B,2018,6d09e418bc274ba28da6d1de554e326e,全部通过,ec48ced8f34447ec9727222b822adca1,434
M4403100000002488,深圳市罗湖区百仕达乐湖幼儿园,2019-09-23,52440303564211065J,2018,e23e34f40c1e4427a9d28aaed92db622,全部通过,80d50ff1c250452d9ab6eeadb952bfa2,435
M4403100000011935,深圳市南山区塘朗幼儿园,2019-09-17,52440305MJL184628H,2018,cc3d666559aa44fc93b053ce2c6716c2,全部通过,d14e172abf3c4c1787451075f18b4344,436
